Feature,Importance
log_return_lag_5,0.12072299214568966
log_return_lag_1,0.1118873614601614
log_return_lag_3,0.11005818348518985
log_return_lag_2,0.08402831068903432
log_return_lag_4,0.08305075542635076
volume_change,0.06675130892147296
n_news_shifted,0.04725964657448029
log_return,0.04515742413924337
momentum_10,0.028953656586649158
Volume,0.028742578939375225
weighted_tone_shifted,0.026119522197474022
bb_position,0.02599965583461814
momentum_5,0.022165688726265315
volatility_7d,0.02157096161684686
macd_diff,0.020997158727672455
tone_momentum_shifted,0.019340121669788213
mean_tone_shifted,0.016844496391255664
rsi_14,0.016790878036376477
bb_width,0.01651208951901911
ema_7,0.014281687125032578
Close,0.013501039296251845
macd_signal,0.013235271207645562
macd,0.013230643464252375
ema_14,0.012217497844756906
High,0.012029029270153237
Low,0.008552040704944372
